,_id,VinVehicle,Timestamp,Driver,Odometer,LifeConsumption,Position_lon,Position_lat,Position_altitude,Position_heading,Position_speed,Position_satellites,MessageDate
0,6012ce7606a875e80c1ad1bb,VIN00000000000007,1590971400,Driver07,1000007000,1332988000,7.632738557251381,45.05597531695205,242.0,20.01,59,4,2020-06-01T02:30:00
1,6012ce7606a875e80c1ad1c0,VIN00000000000007,1590973200,Driver07,1000010000,1333013000,7.645797542520082,45.053892860030224,253.0,20.01,57,3,2020-06-01T03:00:00
2,6012ce7606a875e80c1ad1c5,VIN00000000000007,1590975000,Driver07,1000020000,1333025000,7.631642726353126,45.005191105853605,236.0,20.01,98,3,2020-06-01T03:30:00
3,6012ce7606a875e80c1ad1ca,VIN00000000000007,1590976800,Driver07,1000034000,1333076000,7.654054531680278,44.93199576354284,216.0,20.01,29,5,2020-06-01T04:00:00
4,6012ce7606a875e80c1ad1cf,VIN00000000000007,1590978600,Driver07,1000050000,1333101000,7.625086035415509,44.92451922874603,204.0,20.01,17,4,2020-06-01T04:30:00
5,6012ce7606a875e80c1ad1d4,VIN00000000000007,1590980400,Driver07,1000058000,1333139000,7.648959597593051,44.75871719492479,194.0,20.01,76,5,2020-06-01T05:00:00
6,6012ce7606a875e80c1ad1d9,VIN00000000000007,1590982200,Driver07,1000068000,1333145000,7.629076424258468,44.60110984247057,195.0,20.01,15,3,2020-06-01T05:30:00
7,6012ce7606a875e80c1ad1de,VIN00000000000007,1590984000,Driver07,1000079000,1333183000,-1.0,-1.0,187.0,20.01,48,2,2020-06-01T06:00:00
8,6012ce7606a875e80c1ad1e3,VIN00000000000007,1590985800,Driver07,1000088000,1333184000,7.626387820347411,44.621822864637465,196.0,20.01,99,5,2020-06-01T06:30:00
9,6012ce7606a875e80c1ad1e8,VIN00000000000007,1590987600,Driver07,1000102000,1333219000,-1.0,-1.0,191.0,20.01,83,2,2020-06-01T07:00:00
10,6012ce7606a875e80c1ad1ed,VIN00000000000007,1590989400,Driver07,1000107000,1333250000,7.576650885787217,44.79881569998272,172.0,20.01,16,6,2020-06-01T07:30:00
11,6012ce7606a875e80c1ad1f2,VIN00000000000007,1590991200,Driver07,1000115000,1333292000,7.5625571184722205,44.76611435489584,189.0,20.01,32,5,2020-06-01T08:00:00
12,6012ce7606a875e80c1ad1f7,VIN00000000000007,1590993000,Driver07,1000125000,1333326000,-1.0,-1.0,206.0,20.01,12,1,2020-06-01T08:30:00
13,6012ce7606a875e80c1ad1fc,VIN00000000000007,1590994800,Driver07,1000127000,1333345000,-1.0,-1.0,211.0,20.01,51,1,2020-06-01T09:00:00
