,_id,VinVehicle,Timestamp,Driver,Position_lon,Position_lat,Position_altitude,Position_heading,Position_speed,Position_satellites,MessageDate,DeltaOdometer,DeltaLifeConsumption
0,6012ce7606a875e80c1ad1bd,VIN00000000000007,1590971400,Driver07,7.632738557251381,45.05597531695205,242.0,20.01,59,4,2020-06-01T02:30:00,0,0
1,6012ce7606a875e80c1ad1c2,VIN00000000000007,1590973200,Driver07,7.645797542520082,45.053892860030224,253.0,20.01,57,3,2020-06-01T03:00:00,3000,25000
2,6012ce7606a875e80c1ad1c7,VIN00000000000007,1590975000,Driver07,7.631642726353126,45.005191105853605,236.0,20.01,98,3,2020-06-01T03:30:00,10000,12000
3,6012ce7606a875e80c1ad1cc,VIN00000000000007,1590976800,Driver07,7.654054531680278,44.93199576354284,216.0,20.01,29,5,2020-06-01T04:00:00,14000,51000
4,6012ce7606a875e80c1ad1d1,VIN00000000000007,1590978600,Driver07,7.625086035415509,44.92451922874603,204.0,20.01,17,4,2020-06-01T04:30:00,16000,25000
5,6012ce7606a875e80c1ad1d6,VIN00000000000007,1590980400,Driver07,7.648959597593051,44.75871719492479,194.0,20.01,76,5,2020-06-01T05:00:00,8000,38000
6,6012ce7606a875e80c1ad1db,VIN00000000000007,1590982200,Driver07,7.629076424258468,44.60110984247057,195.0,20.01,15,3,2020-06-01T05:30:00,10000,6000
7,6012ce7606a875e80c1ad1e0,VIN00000000000007,1590984000,Driver07,-1.0,-1.0,187.0,20.01,48,2,2020-06-01T06:00:00,11000,38000
8,6012ce7606a875e80c1ad1e5,VIN00000000000007,1590985800,Driver07,7.626387820347411,44.621822864637465,196.0,20.01,99,5,2020-06-01T06:30:00,9000,1000
9,6012ce7606a875e80c1ad1ea,VIN00000000000007,1590987600,Driver07,-1.0,-1.0,191.0,20.01,83,2,2020-06-01T07:00:00,14000,35000
10,6012ce7606a875e80c1ad1ef,VIN00000000000007,1590989400,Driver07,7.576650885787217,44.79881569998272,172.0,20.01,16,6,2020-06-01T07:30:00,5000,31000
11,6012ce7606a875e80c1ad1f4,VIN00000000000007,1590991200,Driver07,7.5625571184722205,44.76611435489584,189.0,20.01,32,5,2020-06-01T08:00:00,8000,42000
12,6012ce7606a875e80c1ad1f9,VIN00000000000007,1590993000,Driver07,-1.0,-1.0,206.0,20.01,12,1,2020-06-01T08:30:00,10000,34000
13,6012ce7606a875e80c1ad1fe,VIN00000000000007,1590994800,Driver07,-1.0,-1.0,211.0,20.01,51,1,2020-06-01T09:00:00,2000,19000
14,6012ce7606a875e80c1ad203,VIN00000000000007,1590996600,Driver07,7.551427139103166,44.82438923055223,200.0,20.01,27,3,2020-06-01T09:30:00,10000,32000
15,6012ce7606a875e80c1ad208,VIN00000000000007,1590998400,Driver07,-1.0,-1.0,182.0,20.01,93,2,2020-06-01T10:00:00,1000,49000
16,6012ce7606a875e80c1ad20d,VIN00000000000007,1591000200,Driver07,7.593681530981515,44.8911764331312,170.0,20.01,87,5,2020-06-01T10:30:00,0,24000
17,6012ce7606a875e80c1ad212,VIN00000000000007,1591002000,Driver07,7.628642731511237,44.721224764962464,164.0,20.01,10,6,2020-06-01T11:00:00,6000,2000
18,6012ce7606a875e80c1ad217,VIN00000000000007,1591003800,Driver07,7.659357130609211,44.71882864853724,154.0,20.01,23,4,2020-06-01T11:30:00,13000,31000
19,6012ce7606a875e80c1ad21c,VIN00000000000007,1591005600,Driver07,7.684440646064732,44.77715045359916,135.0,20.01,80,5,2020-06-01T12:00:00,4000,30000
20,6012ce7606a875e80c1ad221,VIN00000000000007,1591007400,Driver07,7.691542764870282,44.66932172105076,147.0,20.01,26,5,2020-06-01T12:30:00,7000,12000
21,6012ce7606a875e80c1ad226,VIN00000000000007,1591009200,Driver07,-1.0,-1.0,142.0,20.01,10,2,2020-06-01T13:00:00,3000,48000
22,6012ce7606a875e80c1ad22b,VIN00000000000007,1591011000,Driver07,7.726504750890899,44.734951335078456,128.0,20.01,41,3,2020-06-01T13:30:00,11000,11000
23,6012ce7606a875e80c1ad230,VIN00000000000007,1591012800,Driver07,7.707430162727914,44.743696952751634,111.0,20.01,28,5,2020-06-01T14:00:00,0,2000
24,6012ce7606a875e80c1ad235,VIN00000000000007,1591014600,Driver07,7.671924704693719,44.93420048042978,99.0,20.01,56,6,2020-06-01T14:30:00,5000,0
25,6012ce7606a875e80c1ad23a,VIN00000000000007,1591016400,Driver07,7.691465034137707,44.764708860213005,101.0,20.01,36,6,2020-06-01T15:00:00,5000,27000
